type;brick;family;class;segment;FamilyId;OperationCode
bottines après-ski;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;9809542;CKLEIN259
brassière;Maillot de bain - Haut;Balnéaire;Vêtements;Vêtements;10626068;BERSHKA35
chaussettes d'intérieur;"Chaussettes ";Sous–vêtements;Vêtements;Vêtements;10002304;ISOTONER37
cravate;"Écharpes/Cravates/Foulards ";Accessoires Vestimentaires;Vêtements;Vêtements;10473132;AZZARO45
jupe portefeuille;Jupes;Vêtements pour le Bas du Corps;Vêtements;Vêtements;10183224;BERSHKA34
mules;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;10498220;ALDO14
pantalon chino;Pantalons/Shorts;Vêtements pour le Bas du Corps;Vêtements;Vêtements;10031868;BBROTHERS15
pantoufles;Chaussures d'Intérieur – Partiellement Ouvertes;Chaussures d'Intérieur;Chaussures;Chaussures;9315497;INBLU4
robe;"Robes/combinaisons ";Vêtements d’une Pièce;Vêtements;Vêtements;9548665;CHARLISE3
top;Vêtements de Sport - Top/T-shirt/polo/chemise;Vêtements de Sport;Vêtements;Vêtements;10484198;FREDDY9
ballerines;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;10374451;ABRILFLOWERS1
bottes de pluie;Bottes;Chaussures Polyvalentes;Chaussures;Chaussures;9515942;BABYBOTTE12
"bottines ";Bottes;Chaussures Polyvalentes;Chaussures;Chaussures;9247697;AGUARDIANI13
boxer de bain;Maillot de bain - Bas;Balnéaire;Vêtements;Vêtements;10333727;BMOON39
casquette;Chapeaux/Casquettes/Bonnets;Accessoires Vestimentaires;Vêtements;Vêtements;10203269;FREEGUN15
écharpe tube;"Écharpes/Cravates/Foulards ";Accessoires Vestimentaires;Vêtements;Vêtements;10129569;REPLAY59
trousse;Trousses / Mallettes de Toilette;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;10357384;MPTRIBU1
veste;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;9538238;BALLY8
sandales;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;8907016;ANDREACONTI3
sarouel;Pantalons/Shorts;Vêtements pour le Bas du Corps;Vêtements;Vêtements;10697748;DEHA15
soutien-gorge;Maillot de bain - Haut;Balnéaire;Vêtements;Vêtements;10626055;BERSHKA35
sweat zippé;"Sweat-shirts/Pulls ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10410944;BIKKEMBERGS38
trousse;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9872441;BORBONESE6
trousse;Trousses / Mallettes de Toilette;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;10156399;KEUROSWAN19
housse pour tablette;Porte-Documents;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;10135921;PMENDIGOTE10
mocassins;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;9945069;ADELLACQUA3
nu-pieds;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;9850527;ALDO13
peep-toes;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;9928943;AYNEOSENS10
sac cartable;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;10445209;KESSLORD21
sacoche transformable en sac à dos;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9771645;HEDGREN2
combishort;"Robes/combinaisons ";Vêtements d’une Pièce;Vêtements;Vêtements;10183127;BERSHKA34
culotte de bain;Maillot de bain - Bas;Balnéaire;Vêtements;Vêtements;10278251;JROBIN7
mules;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;10378435;ADIDAS67
pull;"Sweat-shirts/Pulls ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;9476743;VANS29
short;"Pantalons/Shorts de Nuit ";Vêtements de Nuit;Vêtements;Vêtements;10156701;KEUROSWAN19
soutien-gorge balconnet emboîtant;"Soutiens–gorge/Guêpières/Corsets ";Sous–vêtements;Vêtements;Vêtements;10340705;ETAM57
valise format weekend;Bagages / Valises / Porte-Vêtements;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9437969;ALUGGAGE4
babies;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;9248296;ARCHE11
bottes;Bottes;Chaussures Polyvalentes;Chaussures;Chaussures;7841909;AAPPAREL5
chaussures montantes de fitness;Sports spécifiques;Chaussures de Sport;Chaussures;Chaussures;10484260;FREDDY9
chaussures ouvertes;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;5623038;PABLOSKY18
jean;Pantalons/Shorts;Vêtements pour le Bas du Corps;Vêtements;Vêtements;10250437;AAPPAREL5
pochette;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9606238;BRIHL14
richelieu;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;9945053;ADELLACQUA3
shorty string;"Culottes/Boxer/Caleçons ";Sous–vêtements;Vêtements;Vêtements;10331009;SSUCRE13
slip de bain brésilien;Maillot de bain - Bas;Balnéaire;Vêtements;Vêtements;10333425;BMOON39
soutien-gorge demi-bonnets;"Soutiens–gorge/Guêpières/Corsets ";Sous–vêtements;Vêtements;Vêtements;9707288;ROSY19
soutien-gorge emboîtant;"Soutiens–gorge/Guêpières/Corsets ";Sous–vêtements;Vêtements;Vêtements;9707382;ROSY19
tunique;Chemises/Chemisiers/Polos/T-shirts;Vêtements pour le Haut du Corps;Vêtements;Vêtements;10278357;JROBIN7
bermuda de bain;Maillot de bain - Bas;Balnéaire;Vêtements;Vêtements;10080461;FACONNABLE43
bottines;Bottes;Chaussures Polyvalentes;Chaussures;Chaussures;9225605;BALDININI5
derbies montantes;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;9248118;ARCHE11
pull sans manches;"Sweat-shirts/Pulls ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10521004;BROOKSFIELD4
sac fermoir;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;10130383;ISATO2
salomés;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;8907007;ANDREACONTI3
bottes de pluie;Bottes;Chaussures Polyvalentes;Chaussures;Chaussures;9617929;BONLY16
cabas;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;8715708;ALUXE15
caleçon;"Culottes/Boxer/Caleçons ";Sous–vêtements;Vêtements;Vêtements;10080027;FACONNABLE43
chaussons;Chaussures d'Intérieur – Partiellement Ouvertes;Chaussures d'Intérieur;Chaussures;Chaussures;9785714;BAGLLERINA3
doudoune;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10183188;BERSHKA34
jegging;Pantalons/Shorts;Vêtements pour le Bas du Corps;Vêtements;Vêtements;10183100;BERSHKA34
trousse;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9872555;BORBONESE6
trousse;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9606346;BRIHL14
valise long séjour;Bagages / Valises / Porte-Vêtements;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;10342177;ALPINI1
veste en jean;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10625772;BERSHKA35
jupe;Jupes;Vêtements pour le Bas du Corps;Vêtements;Vêtements;10257981;ADAGATTI7
porte-documents;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9991709;ANTONYME4
robe bustier;"Robes/combinaisons ";Vêtements d’une Pièce;Vêtements;Vêtements;9989973;BONOBO10
salomés;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;10240364;ARCHE12
tongs;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;10250488;AAPPAREL5
trolley;Bagages / Valises / Porte-Vêtements;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;7704578;FOTOPRIX3
bermuda;Pantalons/Shorts;Vêtements pour le Bas du Corps;Vêtements;Vêtements;10250538;AAPPAREL5
caleçon technique;"Vêtements de Sport – Vêtements pour le Bas du Corps ";Vêtements de Sport;Vêtements;Vêtements;10484050;FREDDY9
chaussures;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;10378872;ADIDAS67
lunettes de soleil unisexe;Matériel Optique – Lunettes de Soleil Prêtes à Porter;Soins/Traitements des Organes Sensoriels;Traitements pour la Santé/Premiers Secours;Santé;7841892;AAPPAREL5
porte-ordinateur à roulettes;Bagages / Valises / Porte-Vêtements;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;10261109;TRAVELONE30
robe;"Robes/combinaisons ";Vêtements d’une Pièce;Vêtements;Vêtements;10644664;OAKWOOD43
sac week-end;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;8380765;FAGUO9
t-shirt;Hauts de Nuit/Robes et Chemises de Nuit;Vêtements de Nuit;Vêtements;Vêtements;10108731;LACOSTE38
bague;Bagues/Anneaux;Bijoux;Accessoires Corporels;Accessoires corporels;7841904;AAPPAREL5
chaussures de football;Sports spécifiques;Chaussures de Sport;Chaussures;Chaussures;10251424;LOTTO20
chaussures ouvertes;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;9547846;ARTNATURAL17
cuissardes;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;6952799;CASTANER16
nu-pieds;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;10159076;AIGNER17
pantalon cargo;Pantalons/Shorts;Vêtements pour le Bas du Corps;Vêtements;Vêtements;10244971;MARVILLE8
veste en jean;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10183190;BERSHKA34
pashmina;"Écharpes/Cravates/Foulards ";Accessoires Vestimentaires;Vêtements;Vêtements;10521135;BROOKSFIELD4
robe pull;"Robes/combinaisons ";Vêtements d’une Pièce;Vêtements;Vêtements;10625862;BERSHKA35
sac porté épaule;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9810238;COCCINELLE14
salopette;"Robes/combinaisons ";Vêtements d’une Pièce;Vêtements;Vêtements;9638817;SSWAROVSKI2
top;Vêtements de Sport - Top/T-shirt/polo/chemise;Vêtements de Sport;Vêtements;Vêtements;10483887;FREDDY9
trousse de toilette;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;10123002;BLOLA13
chaussons;Chaussures d'Intérieur – Entièrement Fermées;Chaussures d'Intérieur;Chaussures;Chaussures;9880744;RCHOCOLAT3
chaussures de futsal;Sports spécifiques;Chaussures de Sport;Chaussures;Chaussures;9408464;PDORO19
chemise;Chemises/Chemisiers/Polos/T-shirts;Vêtements pour le Haut du Corps;Vêtements;Vêtements;10250453;AAPPAREL5
combishort;"Robes/combinaisons ";Vêtements d’une Pièce;Vêtements;Vêtements;10183412;BERSHKA34
gilet sans manches;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10183658;BERSHKA34
porte-documents;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9433076;DHECHTER23
soutien-gorge bandeau;"Soutiens–gorge/Guêpières/Corsets ";Sous–vêtements;Vêtements;Vêtements;10340744;ETAM57
trousse de maquillage;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9722063;HEDGREN2
sac à roulettes;Bagages / Valises / Porte-Vêtements;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;7087371;JLSCHERRER31
sac bourse;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;10196550;CASTANER23
sac de sport;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;8380759;FAGUO9
salomés;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;10240352;ARCHE12
set de 3 valises;Bagages / Valises / Porte-Vêtements;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;7087386;JLSCHERRER31
set valise cabine + vanity;Bagages / Valises / Porte-Vêtements;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;7087366;JLSCHERRER31
blouson;Vêtements de Sport - Vestes/blousons/sweats;Vêtements de Sport;Vêtements;Vêtements;9757876;OKAIDI27
