operationcode	siteid	begindate	enddate	sector
ALL4PRINTS11	1	2017-06-03 19:00:00.000	2017-06-13 06:00:00.000	DECO / MEUBLE
CITYBUG3	1	2017-06-02 19:00:00.000	2017-06-08 06:00:00.000	HIGH TECH
DOGO1	1	2017-06-03 09:00:00.000	2017-06-08 06:00:00.000	CHAUSSURES
DROUAULT42	1	2017-06-03 09:00:00.000	2017-06-12 06:00:00.000	LINGE DE MAISON
EXKLUSIV7	1	2017-06-03 19:00:00.000	2017-06-11 08:00:00.000	MATERIEL SPORT
GSPIRIT3	1	2017-06-02 19:00:00.000	2017-06-07 06:00:00.000	CHAUSSURES
LACHINATA7	1	2017-06-03 19:00:00.000	2017-06-10 08:00:00.000	COSMETIQUE
LAZYLIFE5	1	2017-06-03 09:00:00.000	2017-06-10 08:00:00.000	DECO / MEUBLE
LISONIA2	1	2017-06-03 09:00:00.000	2017-06-09 06:00:00.000	BIJOUX
LNTHINGS10	1	2017-06-03 09:00:00.000	2017-06-12 06:00:00.000	DECO / MEUBLE
LP_SPAMOSAIC2	1	2017-06-03 09:00:00.000	2017-06-08 06:00:00.000	COSMETIQUE
M_TH_FRAIS5	1	2017-06-03 09:00:00.000	2017-06-11 08:00:00.000	GASTRONOMIE
MAKEINTERNA2	1	2017-06-02 19:00:00.000	2017-06-09 06:00:00.000	ART DE LA TABLE
MKORS18	1	2017-06-03 09:00:00.000	2017-06-06 06:00:00.000	MONTRES
OD_ALLDOCK3	1	2017-06-03 09:00:00.000	2017-06-04 08:50:00.000	HIGH TECH
OD_DDEVIL30	1	2017-06-03 19:00:00.000	2017-06-04 18:50:00.000	PEM
OD_EARDEN44	1	2017-06-06 07:00:00.000	2017-06-07 06:50:00.000	COSMETIQUE
OD_FSTYLE2	1	2017-06-04 09:00:00.000	2017-06-05 06:50:00.000	DECO / MEUBLE
OD_HERZBERG2	1	2017-06-04 19:00:00.000	2017-06-05 18:50:00.000	ART DE LA TABLE
OD_LTROTTEUS2	1	2017-06-02 19:00:00.000	2017-06-03 18:50:00.000	MONTRES
OD_MCHAUSSEUR6	1	2017-06-02 19:00:00.000	2017-06-03 18:50:00.000	CHAUSSURES
OD_PJEANS69	1	2017-06-03 09:00:00.000	2017-06-04 08:50:00.000	LINGERIE
OD_POTIRON34	1	2017-06-04 09:00:00.000	2017-06-05 08:50:00.000	DECO / MEUBLE
OD_SOLEUS1	1	2017-06-05 19:00:00.000	2017-06-06 18:50:00.000	MATERIEL SPORT
OD_VELOP1	1	2017-06-03 19:00:00.000	2017-06-04 18:50:00.000	HIGH TECH
OD_WHIRLPOOL5	1	2017-06-04 19:00:00.000	2017-06-05 18:50:00.000	GEM
PEPERUNA2	1	2017-06-02 19:00:00.000	2017-06-07 06:00:00.000	PAP FEMME
PURELIN3	1	2017-06-03 09:00:00.000	2017-06-08 06:00:00.000	PAP FEMME
RESIDENCE6	1	2017-06-03 19:00:00.000	2017-06-09 06:00:00.000	JARDIN
RLAUREN79	1	2017-06-03 09:00:00.000	2017-06-08 06:00:00.000	SPORTSWEAR
SEBAGO20	1	2017-06-03 09:00:00.000	2017-06-09 06:00:00.000	CHAUSSURES
VERSAHOME1	1	2017-06-03 09:00:00.000	2017-06-08 06:00:00.000	DECO / MEUBLE
VPT_PPPRINCE2	1	2017-06-03 09:00:00.000	2017-06-10 23:59:00.000	PARCS
VPV_FLANEO28	1	2017-06-03 09:00:00.000	2017-06-13 06:00:00.000	VOYAGE
VPV_H_EXPLOR1	1	2017-06-03 09:00:00.000	2017-06-13 06:00:00.000	VOYAGE
VPV_HOMAIR45	1	2017-06-03 09:00:00.000	2017-06-13 06:00:00.000	VOYAGE
VPV_MULTI834	1	2017-06-03 09:00:00.000	2017-06-13 06:00:00.000	VOYAGE
VPV_S_P_MFLY46	1	2017-06-03 09:00:00.000	2017-06-13 06:00:00.000	VOYAGE
WNE_PARKER2	1	2017-06-03 09:00:00.000	2017-06-12 06:00:00.000	VINS
