type;brick;family;classe;segment;FamilyId;OperationCode;OperationId
boardshort;Maillot de bain - Bas;Balnéaire;Vêtements;Vêtements;10521121;BROOKSFIELD4;68201
boots;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;10158503;ALUXE18;66300
bottines;Bottes;Chaussures Polyvalentes;Chaussures;Chaussures;8711157;GOODWINSMITH1;58402
chemise de nuit;Hauts de Nuit/Robes et Chemises de Nuit;Vêtements de Nuit;Vêtements;Vêtements;10340327;ETAM57;67392
coupe-vent;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10263618;CDSPORTS3;67015
étole;"Écharpes/Cravates/Foulards ";Accessoires Vestimentaires;Vêtements;Vêtements;9872627;BORBONESE6;64578
housse pour ordinateur;Porte-Documents;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;10135908;PMENDIGOTE10;66131
sandales à talons;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;5302066;CASTANER13;39399
trousse;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9844393;ARUIZ88;64429
t-shirt;Vêtements de Sport - Top/T-shirt/polo/chemise;Vêtements de Sport;Vêtements;Vêtements;10484325;FREDDY9;67999
veste;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;9538519;BALLY8;62698
blouson;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10031855;BBROTHERS15;65571
caleçon;"Culottes/Boxer/Caleçons ";Sous–vêtements;Vêtements;Vêtements;10080028;FACONNABLE43;60705
chaussons;Chaussures d'Intérieur – Entièrement Fermées;Chaussures d'Intérieur;Chaussures;Chaussures;9880738;RCHOCOLAT3;64657
"chaussures de golf ";Sports spécifiques;Chaussures de Sport;Chaussures;Chaussures;9988248;SKECHERS9;64966
derbies;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;9945055;ADELLACQUA3;64988
écharpe;"Écharpes/Cravates/Foulards ";Accessoires Vestimentaires;Vêtements;Vêtements;9413312;AYNEOSENS9;61253
kimono;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10183634;BERSHKA34;66102
porte-documents;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;8380758;FAGUO9;54837
sacoche pour tablette;Porte-Documents;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;10763316;PICARD20;68751
short de bain;Maillot de bain - Bas;Balnéaire;Vêtements;Vêtements;10080467;FACONNABLE43;60705
sweat à capuche;"Sweat-shirts/Pulls ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10625665;BERSHKA35;68401
casquette;Chapeaux/Casquettes/Bonnets;Accessoires Vestimentaires;Vêtements;Vêtements;10080031;FACONNABLE43;60705
escarpins;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;10374589;ABRILFLOWERS1;67561
slip;"Culottes/Boxer/Caleçons ";Sous–vêtements;Vêtements;Vêtements;10092195;BBARDOT5;65871
string;"Culottes/Boxer/Caleçons ";Sous–vêtements;Vêtements;Vêtements;10340985;ETAM57;67392
veste longue;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;9638719;SSWAROVSKI2;63403
boots;Bottes;Chaussures Polyvalentes;Chaussures;Chaussures;10300625;AFERMANI4;67258
boxer;"Culottes/Boxer/Caleçons ";Sous–vêtements;Vêtements;Vêtements;9990033;BONOBO10;65335
casque de moto intégral;"Vêtements de Sport – Coiffes ";Vêtements de Sport;Vêtements;Vêtements;10181668;SPARCO23;66464
chaussons;Chaussures d'Intérieur – Partiellement Ouvertes;Chaussures d'Intérieur;Chaussures;Chaussures;9315518;INBLU4;61223
combishort;"Robes/combinaisons ";Vêtements d’une Pièce;Vêtements;Vêtements;10183124;BERSHKA34;66102
"foulard ";"Écharpes/Cravates/Foulards ";Accessoires Vestimentaires;Vêtements;Vêtements;10333434;BMOON39;67351
housse pour ordinateur;Porte-Documents;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9991671;ANTONYME4;65339
mitaines;"Gants/Moufles ";Accessoires Vestimentaires;Vêtements;Vêtements;10336390;LOLLIPOPS33;67372
veste;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;9447576;BORBONESE5;62103
bottes de pluie;Bottes;Chaussures Polyvalentes;Chaussures;Chaussures;9617956;BONLY16;63263
caleçon long;"Culottes/Boxer/Caleçons ";Sous–vêtements;Vêtements;Vêtements;9906956;HAPPYSOCKS15;64798
chaussures bateau;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;9850716;ALDO13;64464
chaussures de football;Sports spécifiques;Chaussures de Sport;Chaussures;Chaussures;10251420;LOTTO20;66901
"chaussures de golf ";Sports spécifiques;Chaussures de Sport;Chaussures;Chaussures;10229149;SKECHERS9;64966
espadrilles;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;9850703;ALDO13;64464
top;Chemises/Chemisiers/Polos/T-shirts;Vêtements pour le Haut du Corps;Vêtements;Vêtements;10183577;BERSHKA34;66102
valise grand volume;Bagages / Valises / Porte-Vêtements;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9824265;TORRENTE72;64335
porte-documents;Porte-Documents;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9991658;ANTONYME4;65339
porte-documents;Porte-Documents;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9991664;ANTONYME4;65339
sac ceinture;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;8645956;ARTNATURAL15;58061
sac de sport;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;8380763;FAGUO9;54837
sandales;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;10437491;ABRILFLOWERS1;67561
shorty string;"Culottes/Boxer/Caleçons ";Sous–vêtements;Vêtements;Vêtements;10331009;SSUCRE13;67334
body;"Sous–vêtements d’une Pièce ";Sous–vêtements;Vêtements;Vêtements;10340266;ETAM57;67392
bottines;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;9465841;AFERMANI3;62238
"bottines ";Bottes;Chaussures Polyvalentes;Chaussures;Chaussures;9247694;AGUARDIANI13;61034
bottines;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;8868929;ALEXANDER1;59367
châle;"Écharpes/Cravates/Foulards ";Accessoires Vestimentaires;Vêtements;Vêtements;10644575;OAKWOOD43;68429
"chaussures de golf ";Sports spécifiques;Chaussures de Sport;Chaussures;Chaussures;9934295;SKECHERS9;64966
pantacourt de sport;"Vêtements de Sport – Vêtements pour le Bas du Corps ";Vêtements de Sport;Vêtements;Vêtements;10340506;ETAM57;67392
parapluie;Parapluies / Ombrelles;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;10002704;ISOTONER37;65406
stilettos;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;9247713;AGUARDIANI13;61034
chemise;Chemises/Chemisiers/Polos/T-shirts;Vêtements pour le Haut du Corps;Vêtements;Vêtements;10183388;BERSHKA34;66102
débardeur;Chemises/Chemisiers/Polos/T-shirts;Vêtements pour le Haut du Corps;Vêtements;Vêtements;10410803;BIKKEMBERGS38;67701
derbies à boucle;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;8885737;BAQIETTO1;59459
gilet;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10183428;BERSHKA34;66102
minaudière;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9978580;CUPLE11;65271
montre automatique;Montres;Montres;Accessoires Corporels;Accessoires corporels;10194901;LCOTTIER20;66535
bob;Chapeaux/Casquettes/Bonnets;Accessoires Vestimentaires;Vêtements;Vêtements;9757243;OKAIDI27;63570
ceinture;"Ceintures/Bretelles ";Accessoires Vestimentaires;Vêtements;Vêtements;9212734;AZZARO42;60911
débardeur;Chemises/Chemisiers/Polos/T-shirts;Vêtements pour le Haut du Corps;Vêtements;Vêtements;9989811;BONOBO10;65335
débardeur de sport;Vêtements de Sport - Top/T-shirt/polo/chemise;Vêtements de Sport;Vêtements;Vêtements;10626155;BERSHKA35;68401
jean 7/8;Pantalons/Shorts;Vêtements pour le Bas du Corps;Vêtements;Vêtements;9989938;BONOBO10;65335
minaudière;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9606259;BRIHL14;63029
soutien-gorge bandeau;Maillot de bain - Haut;Balnéaire;Vêtements;Vêtements;10333624;BMOON39;67351
tanga;"Culottes/Boxer/Caleçons ";Sous–vêtements;Vêtements;Vêtements;10341008;ETAM57;67392
top;Vêtements de Sport - Top/T-shirt/polo/chemise;Vêtements de Sport;Vêtements;Vêtements;10483890;FREDDY9;67999
bandeau;"Soutiens–gorge/Guêpières/Corsets ";Sous–vêtements;Vêtements;Vêtements;9720886;HACKETT25;63796
blouse;Chemises/Chemisiers/Polos/T-shirts;Vêtements pour le Haut du Corps;Vêtements;Vêtements;10258148;ADAGATTI7;66955
bottines;Bottes;Chaussures Polyvalentes;Chaussures;Chaussures;5302440;CASTANER13;39399
chaussures de randonnée;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;10362819;LASPORTIVA6;67492
doudoune;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10521041;BROOKSFIELD4;68201
jean;Pantalons/Shorts;Vêtements pour le Bas du Corps;Vêtements;Vêtements;10183377;BERSHKA34;66102
veste;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;9447500;BORBONESE5;62103
pantacourt;Pantalons/Shorts;Vêtements pour le Bas du Corps;Vêtements;Vêtements;10340510;ETAM57;67392
pantoufles;Chaussures d'Intérieur – Partiellement Ouvertes;Chaussures d'Intérieur;Chaussures;Chaussures;9315628;INBLU4;61223
robe de plage;"Robes/combinaisons ";Vêtements d’une Pièce;Vêtements;Vêtements;10333745;BMOON39;67351
